DATE,Category,Crime,City,State,Zip.Code,Agency,Place,add_num,street,street2,street_type
2021,Crime Against Property,Motor Vehicle Theft,BURTONSVILLE,MD,20866,MCPD,Street - Residential,NA,SANDY SPRING,,RD
2021,Crime Against Property,Motor Vehicle Theft,BETHESDA,MD,20816,MCPD,Parking Lot - Residential,5300,WESTBARD,,AVE
2021,Crime Against Property,Motor Vehicle Theft,DAMASCUS,MD,20872,MCPD,Parking Lot - Residential,10400,DAMASCUS PARK,,LA
2021,Crime Against Property,Motor Vehicle Theft,BURTONSVILLE,MD,NA,MCPD,Parking Lot - Commercial,4100,ZANHORN,,LA
2021,Crime Against Property,Motor Vehicle Theft,SILVER SPRING,MD,20903,MCPD,Street - Residential,9000,PINEY BRANCH,,RD
2021,Crime Against Property,Motor Vehicle Theft,ROCKVILLE,MD,20852,RCPD,Parking Garage - Commercial,1500,ROCKVILLE,,PIK
2021,Crime Against Property,Motor Vehicle Theft,SILVER SPRING,MD,20910,MCPD,Street - Commercial,900,ELLSWORTH,,DR
2021,Crime Against Property,Motor Vehicle Theft,SILVER SPRING,MD,20910,MCPD,Parking Lot - Commercial,8000,GEORGIA,,AVE
2021,Crime Against Property,Motor Vehicle Theft,KENSINGTON,MD,20895,MCPD,Residence - Single Family,4100,EVERETT,,ST
2021,Crime Against Property,Motor Vehicle Theft,MONTGOMERY VILLAGE,MD,20886,MCPD,Parking Lot - Residential,9800,BROOKRIDGE,,CT
2021,Crime Against Property,Motor Vehicle Theft,GERMANTOWN,MD,20874,MCPD,Residence - Driveway,19400,CARAVAN,,DR
2021,Crime Against Property,Motor Vehicle Theft,SILVER SPRING,MD,20910,MCPD,Auto Repair,900,PHILADELPHIA,,AVE
2021,Crime Against Property,Motor Vehicle Theft,CHEVY CHASE,MD,20815,MCPD,Residence - Driveway,7400,RIDGEWOOD,,AVE
2021,Crime Against Property,Motor Vehicle Theft,ROCKVILLE,MD,20850,RCPD,Residence -Townhouse/Duplex,700,COLLEGE,,PKW
2021,Crime Against Property,Motor Vehicle Theft,SILVER SPRING,MD,20906,MCPD,Parking Lot - Commercial,3500,PEAR TREE,,CT
2021,Crime Against Property,Motor Vehicle Theft,ROCKVILLE,MD,20853,MCPD,Residence - Driveway,4700,IRIS,,PL
2021,Crime Against Property,Motor Vehicle Theft,SILVER SPRING,MD,20910,MCPD,Parking Garage - Residential,8400,FENTON,,ST
2021,Crime Against Property,Motor Vehicle Theft,BETHESDA,MD,20816,MCPD,Street - Residential,5000,GREENWAY,,DR
2021,Crime Against Property,Motor Vehicle Theft,SILVER SPRING,MD,20910,MCPD,Street - Commercial,900,WAYNE,,AVE
2021,Crime Against Property,Motor Vehicle Theft,BETHESDA,MD,20817,MCPD,Street - Residential,6500,MILLWOOD,,RD
2021,Crime Against Property,Motor Vehicle Theft,BETHESDA,MD,20814,MCPD,Residence - Driveway,4600,CHELSEA,,LA
2021,Crime Against Property,Motor Vehicle Theft,SILVER SPRING,MD,20910,MCPD,Parking Garage - Residential,100,HIGH PARK,,LA
2021,Crime Against Property,Motor Vehicle Theft,SILVER SPRING,MD,20910,MCPD,Bar/Night Club,8200,GEORGIA,,AVE
2021,Crime Against Property,Motor Vehicle Theft,MONTGOMERY VILLAGE,MD,20886,MCPD,Parking Lot - Residential,18700,WALKERS CHOICE,,RD
2021,Crime Against Property,Motor Vehicle Theft,GERMANTOWN,MD,20876,MCPD,Street - Residential,19400,ARCHDALE,,RD
2021,Crime Against Property,Motor Vehicle Theft,BETHESDA,MD,20816,MCPD,Residence - Driveway,5300,WAKEFIELD,,RD
2021,Crime Against Property,Motor Vehicle Theft,SILVER SPRING,MD,20906,MCPD,Residence - Driveway,3600,LIVERPOOL,,PL
2021,Crime Against Property,Motor Vehicle Theft,GAITHERSBURG,MD,20877,MCPD,Parking Lot - Residential,8100,FALLOW,,DR
2021,Crime Against Property,Motor Vehicle Theft,GERMANTOWN,MD,20874,MCPD,Parking Lot - Residential,20200,SHIPLEY,,TER
2021,Crime Against Property,Motor Vehicle Theft,ROCKVILLE,MD,20853,MCPD,Residence - Driveway,15300,HANNANS,,WAY
2021,Crime Against Property,Motor Vehicle Theft,MONTGOMERY VILLAGE,MD,20886,MCPD,Street - Residential,19600,CLUB LAKE,,RD
2021,Crime Against Property,Motor Vehicle Theft,MONTGOMERY VILLAGE,MD,20886,MCPD,Parking Lot - Residential,18300,LOST KNIFE,,CIR
2021,Crime Against Property,Motor Vehicle Theft,SILVER SPRING,MD,20910,MCPD,Street - Commercial,8200,GEORGIA,,AVE
2021,Crime Against Property,Motor Vehicle Theft,SILVER SPRING,MD,20906,MCPD,Parking Lot - Residential,2300,GLENALLAN,,AVE
2021,Crime Against Property,Motor Vehicle Theft,BETHESDA,MD,20817,MCPD,Residence - Driveway,8700,RIDGE,,RD
2021,Crime Against Property,Motor Vehicle Theft,GAITHERSBURG,MD,20878,MCPD,Street - Residential,NA,STORY,,DR
2021,Crime Against Property,Motor Vehicle Theft,ROCKVILLE,MD,20850,MCPD,Street - Residential,10400,PROCERA,,DR
2021,Crime Against Property,Motor Vehicle Theft,SILVER SPRING,MD,20903,MCPD,Residence - Driveway,9500,AVENEL,,RD
2021,Crime Against Property,Motor Vehicle Theft,ROCKVILLE,MD,20853,MCPD,Residence - Driveway,15000,COLUMBINE,,WAY
2021,Crime Against Property,Motor Vehicle Theft,GAITHERSBURG,MD,20878,MCPD,Parking Lot - Residential,1,MC DONALD CHAPEL,,CT
2021,Crime Against Property,Motor Vehicle Theft,POOLESVILLE,MD,20837,MCPD,Parking Lot - Residential,17500,HOSKINSON,,RD
2021,Crime Against Property,Motor Vehicle Theft,MONTGOMERY VILLAGE,MD,20886,MCPD,Street - Residential,20400,MEADOW POND,,PL
2021,Crime Against Property,Motor Vehicle Theft,SILVER SPRING,MD,20901,MCPD,Street - Residential,10600,MEADOWHILL,,RD
2021,Crime Against Property,Motor Vehicle Theft,SILVER SPRING,MD,20901,MCPD,Street - Residential,11200,OAK LEAF,,DR
2021,Crime Against Property,Motor Vehicle Theft,OLNEY,MD,20832,MCPD,Construction Site,17000,GEORGIA,,AVE
2021,Crime Against Property,Motor Vehicle Theft,GAITHERSBURG,MD,20877,MCPD,Parking Lot - Residential,200,WATER,,ST
2021,Crime Against Property,Motor Vehicle Theft,SILVER SPRING,MD,20904,MCPD,Parking Lot - Residential,12100,SWEET CLOVER,,DR
2021,Crime Against Property,Motor Vehicle Theft,BETHESDA,MD,20817,MCPD,Residence - Driveway,6400,GREENTREE,,RD
2021,Crime Against Property,Motor Vehicle Theft,SILVER SPRING,MD,20861,MCPD,Residence - Driveway,900,CLIFTONBROOK,,LA
2021,Crime Against Property,Motor Vehicle Theft,TAKOMA PARK,MD,20912,TPPD,Street - Other,7800,KENNEWICK,,AVE
2021,Crime Against Property,Motor Vehicle Theft,DERWOOD,MD,20855,MCPD,Parking Garage - Residential,15900,FREDERICK,,RD
2021,Crime Against Property,Motor Vehicle Theft,SILVER SPRING,MD,20910,MCPD,Street - Commercial,800,ELLSWORTH,,DR
2021,Crime Against Property,Motor Vehicle Theft,SILVER SPRING,MD,20910,MCPD,Retail - Other,8200,GEORGIA,,AVE
2021,Crime Against Property,Motor Vehicle Theft,GAITHERSBURG,MD,20878,MCPD,Street - Commercial,NA,WEST SIDE,,DR
2021,Crime Against Property,Motor Vehicle Theft,BETHESDA,MD,20814,MCPD,Residence - Driveway,5400,ALTA VISTA,,RD
2021,Crime Against Property,Motor Vehicle Theft,SILVER SPRING,MD,20904,MCPD,Parking Lot - Commercial,13800,OUTLET,,DR
2021,Crime Against Property,Motor Vehicle Theft,DAMASCUS,MD,20872,MCPD,Parking Lot - Residential,25900,RIDGE MANOR,,DR
2021,Crime Against Property,Motor Vehicle Theft,POTOMAC,MD,20854,MCPD,Street - Residential,10400,GLEN,,RD
2021,Crime Against Property,Motor Vehicle Theft,BETHESDA,MD,20816,MCPD,Residence - Driveway,5200,DUVALL,,DR
2021,Crime Against Property,Motor Vehicle Theft,BETHESDA,MD,20816,MCPD,Street - Residential,5700,MOHICAN,,PL
2021,Crime Against Property,Motor Vehicle Theft,ROCKVILLE,MD,20852,MCPD,Parking Lot - Commercial,12300,WILKINS,,AVE
2021,Crime Against Property,Motor Vehicle Theft,ROCKVILLE,MD,20853,MCPD,Street - Residential,5500,BURNSIDE,,DR
