Job Title,Location,Salary,Job requirements,Focus,Days open,Title1,Company,Location1,Salary2
Information Systems Security Officer (ISSO),"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",security,6d,Information Systems Security Officer (ISSO),,"Herndon, VA",$120K - $160K (Employer est.)
Senior Cyber Intelligence Analyst - All Source,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",security,6d,Senior Cyber Intelligence Analyst - All Source,,"Washington, DC",$75K - $150K (Employer est.)
"Mobile Security and Vulnerability Engineer, Mid","Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",security,6d,"Mobile Security and Vulnerability Engineer, Mid",,"Quantico, VA",$58K - $133K (Employer est.)
Sr. Security Controls Assessor - TS Clearance and FSP Required,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",security,6d,Sr. Security Controls Assessor - TS Clearance and FSP Required,,"Columbia, MD",$43K - $153K (Employer est.)
Communication Security (COMSEC) Alternate Manager,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",security,6d,Communication Security (COMSEC) Alternate Manager,,"Washington, DC",$73K - $110K (Glassdoor est.)
Cyber Network Defense Analyst (-),"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",security,6d,Cyber Network Defense Analyst (-),,"Ashburn, VA",$75K - $115K (Employer est.)
Watch Analyst,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",security,6d,Watch Analyst,,"Arlington, VA",$53K - $80K (Glassdoor est.)
IT Internal Auditor - Lead Associate (Remote),"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",security,6d,IT Internal Auditor - Lead Associate (Remote),,"Washington, DC",$73K - $111K (Glassdoor est.)
Cybersecurity Test Engineer,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",security,6d,Cybersecurity Test Engineer,,"Alexandria, VA",$82K - $186K (Employer est.)
Cybersecurity Analytics Expert,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",security,6d,Cybersecurity Analytics Expert,,"Chantilly, VA",$146K - $234K (Employer est.)
Security Control Assessor,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",security,6d,Security Control Assessor,,"Washington, DC",$60K - $80K (Employer est.)
"Endpoint Detection and Response EDR/ETDR Engineer Cyber - Washington, DC","Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",security,6d,"Endpoint Detection and Response EDR/ETDR Engineer Cyber - Washington, DC",,"Washington, DC",$150K - $170K (Employer est.)
System Security Analyst,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",security,6d,System Security Analyst,,"King George, VA",$81K - $120K (Glassdoor est.)
Cybersecurity Area Sales Manager Northeast Region Remote,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",security,6d,Cybersecurity Area Sales Manager Northeast Region Remote,,"Springfield, VA",
Lead SOC Analyst (-),"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",security,6d,Lead SOC Analyst (-),,"Ashburn, VA",$135K - $165K (Employer est.)
Cyber Data Analytics Engineer,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",security,6d,Cyber Data Analytics Engineer,,"Beltsville, MD",$86K - $138K (Employer est.)
Cybersecurity Analyst II (Monitoring),"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",security,6d,Cybersecurity Analyst II (Monitoring),,"Washington, DC",$58K - $88K (Glassdoor est.)
Mobile Security Researcher,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",security,6d,Mobile Security Researcher,,"Arlington, VA",$62K - $97K (Glassdoor est.)
Weapon Systems Cyber Risk Specialist,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",security,6d,Weapon Systems Cyber Risk Specialist,,"Arlington, VA",$73K - $166K (Employer est.)
"Computer Network Defense (CND) Analyst, Junior (CDNA1)","Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",security,6d,"Computer Network Defense (CND) Analyst, Junior (CDNA1)",,"Annapolis Junction, MD",$86K - $138K (Employer est.)
E-mail Security Engineer-Senior Associate,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",security,6d,E-mail Security Engineer-Senior Associate,,"Reston, VA",$87K - $120K (Glassdoor est.)
